|        x         |        y         |signed |   a   |       out        |  of   |
| 1001010011001011 | 0100110100101010 |   0   |   1   | 1110000111110101 |   0   |
| 1100101001001110 | 0101110101001000 |   0   |   1   | 0010011110010110 |   1   |
| 0110001101001011 | 0001010101001100 |   0   |   0   | 0100110111111111 |   0   |
| 0101101001101010 | 0010001101010101 |   1   |   1   | 0111110110111111 |   0   |
| 0101110101001010 | 0010011010101011 |   1   |   1   | 1000001111110101 |   1   |
| 1111000111101101 | 1010110010101000 |   1   |   1   | 1001111010010101 |   0   |
| 1100100101101100 | 1010100010100010 |   1   |   1   | 0111001000001110 |   1   |
| 1011001001001010 | 0010010001001001 |   1   |   1   | 1101011010010011 |   0   |
| 1100011001001001 | 0010001110110010 |   1   |   0   | 1010001010010111 |   0   |
| 0110010001001010 | 1001011010100010 |   1   |   0   | 1100110110101000 |   1   |
