|        X         |        Y         |  zx   |  nx   |  zy   |  ny   |   f   |  no   |        Z         |  zr   |  ng   |
| 0100001111100111 | 0001101010001000 |   1   |   0   |   1   |   0   |   1   |   0   | 0000000000000000 |   1   |   0   |
| 0100001111100111 | 0001101010001000 |   1   |   1   |   1   |   1   |   1   |   1   | 0000000000000001 |   0   |   0   |
| 0100001111100111 | 0001101010001000 |   1   |   1   |   1   |   0   |   1   |   0   | 1111111111111111 |   0   |   1   |
| 0100001111100111 | 0001101010001000 |   0   |   0   |   1   |   1   |   0   |   0   | 0100001111100111 |   0   |   0   |
| 0100001111100111 | 0001101010001000 |   1   |   1   |   0   |   0   |   0   |   0   | 0001101010001000 |   0   |   0   |
| 0100001111100111 | 0001101010001000 |   0   |   0   |   1   |   1   |   0   |   1   | 1011110000011000 |   0   |   1   |
| 0100001111100111 | 0001101010001000 |   1   |   1   |   0   |   0   |   0   |   1   | 1110010101110111 |   0   |   1   |
| 0100001111100111 | 0001101010001000 |   0   |   0   |   1   |   1   |   1   |   1   | 1011110000011001 |   0   |   1   |
| 0100001111100111 | 0001101010001000 |   1   |   1   |   0   |   0   |   1   |   1   | 1110010101111000 |   0   |   1   |
| 0100001111100111 | 0001101010001000 |   0   |   1   |   1   |   1   |   1   |   1   | 0100001111101000 |   0   |   0   |
| 0100001111100111 | 0001101010001000 |   1   |   1   |   0   |   1   |   1   |   1   | 0001101010001001 |   0   |   0   |
| 0100001111100111 | 0001101010001000 |   0   |   0   |   1   |   1   |   1   |   0   | 0100001111100110 |   0   |   0   |
| 0100001111100111 | 0001101010001000 |   1   |   1   |   0   |   0   |   1   |   0   | 0001101010000111 |   0   |   0   |
| 0100001111100111 | 0001101010001000 |   0   |   0   |   0   |   0   |   1   |   0   | 0101111001101111 |   0   |   0   |
| 0100001111100111 | 0001101010001000 |   0   |   1   |   0   |   0   |   1   |   1   | 0010100101011111 |   0   |   0   |
| 0100001111100111 | 0001101010001000 |   0   |   0   |   0   |   1   |   1   |   1   | 1101011010100001 |   0   |   1   |
| 0100001111100111 | 0001101010001000 |   0   |   0   |   0   |   0   |   0   |   0   | 0000001010000000 |   0   |   0   |
| 0100001111100111 | 0001101010001000 |   0   |   1   |   0   |   1   |   0   |   1   | 0101101111101111 |   0   |   0   |
| 0110000100011101 | 1100001101101101 |   1   |   0   |   1   |   0   |   1   |   0   | 0000000000000000 |   1   |   0   |
| 0110000100011101 | 1100001101101101 |   1   |   1   |   1   |   1   |   1   |   1   | 0000000000000001 |   0   |   0   |
| 0110000100011101 | 1100001101101101 |   1   |   1   |   1   |   0   |   1   |   0   | 1111111111111111 |   0   |   1   |
| 0110000100011101 | 1100001101101101 |   0   |   0   |   1   |   1   |   0   |   0   | 0110000100011101 |   0   |   0   |
| 0110000100011101 | 1100001101101101 |   1   |   1   |   0   |   0   |   0   |   0   | 1100001101101101 |   0   |   1   |
| 0110000100011101 | 1100001101101101 |   0   |   0   |   1   |   1   |   0   |   1   | 1001111011100010 |   0   |   1   |
| 0110000100011101 | 1100001101101101 |   1   |   1   |   0   |   0   |   0   |   1   | 0011110010010010 |   0   |   0   |
| 0110000100011101 | 1100001101101101 |   0   |   0   |   1   |   1   |   1   |   1   | 1001111011100011 |   0   |   1   |
| 0110000100011101 | 1100001101101101 |   1   |   1   |   0   |   0   |   1   |   1   | 0011110010010011 |   0   |   0   |
| 0110000100011101 | 1100001101101101 |   0   |   1   |   1   |   1   |   1   |   1   | 0110000100011110 |   0   |   0   |
| 0110000100011101 | 1100001101101101 |   1   |   1   |   0   |   1   |   1   |   1   | 1100001101101110 |   0   |   1   |
| 0110000100011101 | 1100001101101101 |   0   |   0   |   1   |   1   |   1   |   0   | 0110000100011100 |   0   |   0   |
| 0110000100011101 | 1100001101101101 |   1   |   1   |   0   |   0   |   1   |   0   | 1100001101101100 |   0   |   1   |
| 0110000100011101 | 1100001101101101 |   0   |   0   |   0   |   0   |   1   |   0   | 0010010010001010 |   0   |   0   |
| 0110000100011101 | 1100001101101101 |   0   |   1   |   0   |   0   |   1   |   1   | 1001110110110000 |   0   |   1   |
| 0110000100011101 | 1100001101101101 |   0   |   0   |   0   |   1   |   1   |   1   | 0110001001010000 |   0   |   0   |
| 0110000100011101 | 1100001101101101 |   0   |   0   |   0   |   0   |   0   |   0   | 0100000100001101 |   0   |   0   |
| 0110000100011101 | 1100001101101101 |   0   |   1   |   0   |   1   |   0   |   1   | 1110001101111101 |   0   |   1   |
